Country,Population,Year,Status,Adult Mortality,infant deaths,Alcohol,Life expectancy ,percentage expenditure,Hepatitis B,Measles , BMI ,under-five deaths ,Polio,Total expenditure, HIV/AIDS,Diphtheria ,GDP, thinness  1-19 years, thinness 5-9 years,Income composition of resources,Schooling
Australia,22728254,2012,Developed,61,1,10.03,82.3,11714.99858,91,199,65,1,92,9.36,0.1,92,67677.63477,0.6,0.6,0.93,20.1
Australia,223424,2011,Developed,63,1,10.3,82,10986.26527,92,190,64.4,1,92,9.2,0.1,92,62245.129,0.6,0.6,0.927,19.8
Australia,223175,2010,Developed,64,1,10.52,81.9,8875.786493,92,70,63.9,1,92,9.2,0.1,92,51874.848,0.7,0.6,0.927,19.5
Australia,216917,2009,Developed,66,1,10.62,81.7,7172.275229,94,104,63.4,1,92,9.5,0.1,92,42742.99898,0.7,0.6,0.925,19.1
Australia,212492,2008,Developed,66,1,10.76,81.3,8547.292357,94,65,62.9,1,92,8.78,0.1,92,49664.6854,0.7,0.6,0.921,19.1
Australia,28276,2007,Developed,66,1,10.56,81.3,872.5986092,94,11,62.5,2,92,8.53,0.1,92,4991.98289,0.7,0.6,0.918,19
Australia,26979,2006,Developed,66,1,10.31,81.2,6187.062017,95,0,62,2,92,8.49,0.1,92,36118.28381,0.7,0.6,0.915,20.3
Australia,23948,2005,Developed,67,1,10.3,81,579.1331637,95,10,61.5,2,92,8.45,0.1,92,3416.71483,0.7,0.6,0.91,20.3
Australia,21274,2004,Developed,69,1,9.84,86,588.568371,95,70,6.9,1,92,8.57,0.1,92,3472.37977,0.7,0.6,0.908,20.7
Australia,198954,2003,Developed,71,1,9.97,83,3829.550928,95,91,6.3,1,92,8.32,0.1,93,23465.38559,0.7,0.7,0.905,20.6
Australia,196514,2002,Developed,73,1,9.84,79.9,46.3871819,95,32,59.6,2,92,8.39,0.1,92,281.81763,0.7,0.7,0.902,20.1
Australia,19413,2001,Developed,75,1,9.53,79.9,3064.301144,94,141,59,2,91,8.18,0.1,92,19517.84168,0.7,0.7,0.899,20.5
Australia,19153,2000,Developed,78,1,10.17,79.5,347.18736,,108,58.2,2,9,8.8,0.1,9,2169.921,0.7,0.7,0.897,20.4
Austria,8633169,2015,Developed,65,0,,81.5,0,93,309,57.6,0,93,,0.1,93,43665.947,1.9,2.1,0.892,15.9
Austria,8541575,2014,Developed,66,0,12.32,81.4,8350.193523,98,117,57.1,0,98,11.21,0.1,98,51322.63997,1.8,2,0.892,15.9
Austria,8479375,2013,Developed,68,0,11.82,81.1,90.58501176,95,0,56.6,0,95,11.14,0.1,95,554.71532,1.8,2,0.887,15.7
Austria,8429991,2012,Developed,7,0,12.26,88,7878.372355,92,36,56.1,0,92,11.17,0.1,92,48333.57273,1.8,2,0.884,15.7
Austria,8391643,2011,Developed,73,0,12.04,88,8272.306757,89,68,55.7,0,89,1.94,0.1,89,51126.74139,1.7,2,0.88,15.7
Austria,836344,2010,Developed,75,0,12.1,84,7423.228774,86,52,55.2,0,86,11.17,0.1,86,46657.629,1.7,1.9,0.872,15.4
Austria,8343323,2009,Developed,77,0,11.3,82,8053.557638,83,49,54.7,0,83,11.19,0.1,83,47654.18721,1.7,1.9,0.87,15.3
Austria,8321496,2008,Developed,76,0,12,84,8329.731655,83,448,54.2,0,83,1.6,0.1,83,51386.37665,1.7,1.9,0.864,15.1
Austria,8295487,2007,Developed,8,0,12.5,81,7453.8644,85,20,53.7,0,85,1.4,0.1,85,46586.6525,1.7,1.9,0.86,15.2
Austria,8268641,2006,Developed,81,0,12.4,79.8,69.92899358,83,23,53.2,0,83,1.35,0.1,83,443.99361,1.7,1.9,0.854,15
Austria,8227829,2005,Developed,85,0,12.4,79.4,5992.588029,86,9,52.7,0,86,1.53,0.1,86,38242.4252,1.7,1.9,0.848,14.9
Austria,8171966,2004,Developed,86,0,12.1,79.3,5316.877456,83,15,52.2,0,83,1.56,0.1,83,36693.4262,1.7,1.9,0.841,14.7
Austria,8121423,2003,Developed,88,0,12.2,78.8,504.4308735,83,90,51.7,0,84,1.48,0.1,84,3212.9355,1.7,1.9,0.837,14.7
Austria,881957,2002,Developed,9,0,12.5,78.7,3979.057728,81,0,51.2,0,82,1.27,0.1,83,26351.37568,1.7,1.9,0.847,16.1
Austria,842293,2001,Developed,92,0,12.4,78.6,3582.848308,44,0,5.6,0,83,1.12,0.1,84,24489.73553,1.7,1.9,0.837,15.5
Austria,811566,2000,Developed,96,0,13.2,78.1,3557.455507,33,0,5.1,0,71,1.6,0.1,81,24517.26745,1.7,1.9,0.833,15.4
Azerbaijan,9649341,2015,Developing,118,5,,72.7,0,96,0,52.5,6,98,,0.1,96,55.31382,2.8,2.9,0.758,12.7
Azerbaijan,953579,2014,Developing,119,5,0.01,72.5,306.1824313,94,0,51.5,6,97,6.4,0.1,94,7891.299776,2.8,2.9,0.752,12.2
Azerbaijan,941681,2013,Developing,121,5,2.14,72.2,275.6514934,93,164,5.6,6,96,5.54,0.1,93,7875.756953,2.8,2.8,0.745,11.9
Azerbaijan,9295784,2012,Developing,123,5,0.01,71.9,285.6103912,88,0,49.7,6,92,5.37,0.1,89,7496.335728,2.8,2.8,0.742,11.8
Azerbaijan,917382,2011,Developing,125,5,1.98,71.6,263.142699,84,0,48.8,6,91,5.1,0.1,87,7189.691229,2.8,2.9,0.741,11.7
Azerbaijan,954332,2010,Developing,13,5,1.98,71.1,246.5686008,8,0,48,6,85,5.33,0.1,81,5842.85784,2.8,2.9,0.737,11.7
Azerbaijan,8947243,2009,Developing,132,6,2.1,78,22.48638351,74,0,47.3,6,84,5.85,0.1,81,495.294791,2.8,2.9,0.728,11.6
Azerbaijan,87634,2008,Developing,141,6,1.18,73,206.2616134,68,5,46.6,6,85,4.37,0.1,81,5574.6382,2.8,2.9,0.719,11.6
Azerbaijan,85813,2007,Developing,14,6,1.02,73,176.0107106,62,0,45.9,7,81,5.1,0.1,79,3851.437869,2.8,2.9,0.708,11.6
Azerbaijan,848455,2006,Developing,154,6,0.85,69.2,105.6337264,52,222,45.3,7,8,6.17,0.1,78,2473.85776,2.9,2.9,0.682,10.7
Azerbaijan,839185,2005,Developing,162,6,0.73,68.4,81.28883085,49,1238,44.7,7,79,7.86,0.1,75,1578.4239,2.9,3,0.675,11.2
Azerbaijan,8365,2004,Developing,154,6,0.62,68.4,8.59680496,5,827,44.2,8,78,7.92,0.1,77,145.2163,3,3,0.668,11
Azerbaijan,82341,2003,Developing,154,7,0.55,67.8,42.41491183,51,1978,43.6,8,79,6.56,0.1,77,883.6439965,3,3,0.659,10.8
Azerbaijan,817195,2002,Developing,146,7,0.55,67.8,39.33253687,5,4353,43.1,9,8,4.47,0.1,76,763.73858,3.1,3.1,0.651,10.6
Azerbaijan,81112,2001,Developing,151,8,0.51,67.5,4.104190077,,574,42.6,10,77,4.48,0.1,77,73.6838434,3.1,3.1,0.642,10.4
Azerbaijan,8486,2000,Developing,16,9,0.65,66.6,35.09462644,,210,42.1,11,75,4.67,0.1,76,655.974326,3.2,3.1,0.636,10.1
Bahamas,,2015,Developing,147,0,,76.1,0,95,0,64.5,0,95,,0.1,95,,2.5,2.5,0.79,12.6
Bahamas,,2014,Developing,16,0,9.45,75.4,0,96,0,63.8,0,96,7.74,0.1,96,,2.5,2.5,0.789,12.6
Bahamas,,2013,Developing,172,0,9.42,74.8,0,97,0,63.2,0,97,7.5,0.1,97,,2.5,2.5,0.79,12.6
Bahamas,,2012,Developing,167,0,9.5,74.9,0,96,0,62.6,0,99,7.43,0.2,98,,2.5,2.5,0.789,12.6
Bahamas,,2011,Developing,162,0,9.34,75,0,95,0,62,0,97,7.63,0.1,98,,2.5,2.5,0.788,12.6
Bahamas,,2010,Developing,161,0,9.19,75,0,98,0,61.3,0,97,7.44,0.2,99,,2.5,2.5,0.788,12.6
Bahamas,,2009,Developing,168,0,9.29,74.6,0,95,0,6.7,0,97,7.43,0.1,96,,2.5,2.5,0.791,12.6
Bahamas,,2008,Developing,167,0,10.15,74.5,0,9,0,6.1,0,93,7.3,0.1,93,,2.5,2.5,0.791,12.6
Bahamas,,2007,Developing,167,0,10.75,74.4,0,93,0,59.4,0,95,7.8,0.1,95,,2.5,2.5,0.79,12.5
Bahamas,,2006,Developing,171,0,11.07,74.2,0,96,0,58.7,0,94,6.93,0.1,95,,2.5,2.5,0.788,12.4
Bahamas,,2005,Developing,172,0,10.49,74.1,0,93,0,58.1,0,93,5.95,0.1,93,,2.6,2.5,0.786,12.4
Bahamas,,2004,Developing,174,0,10.1,73.8,0,93,0,57.4,0,92,6.2,0.1,93,,2.6,2.5,0.784,12.3
Bahamas,,2003,Developing,189,0,10.68,73.2,0,88,0,56.7,0,93,5.62,0.1,92,,2.6,2.5,0.783,12.2
Bahamas,,2002,Developing,19,0,10.85,73.1,0,89,0,56,0,93,5.26,0.1,94,,2.6,2.6,0.781,12.1
Bahamas,,2001,Developing,189,0,11.64,72.9,0,21,0,55.2,0,98,5.15,0.2,99,,2.7,2.6,0.779,12.1
Bahamas,,2000,Developing,192,0,12.15,72.6,0,,0,54.4,0,91,5.21,0.1,99,,2.7,2.6,0,12
Bahrain,,2015,Developing,69,0,,76.9,0,98,0,63.6,0,98,,0.1,98,22688.87824,6.2,6.1,0.823,14.5
Bahrain,,2014,Developing,7,0,1.57,76.8,367.2556742,98,46,62.9,0,98,4.98,0.1,98,24983.3792,6.1,6,0.82,14.5
Bahrain,,2013,Developing,7,0,1.65,76.7,3.968695982,99,0,62.2,0,99,4.69,0.1,99,251.18329,6.1,6,0.815,14.5
Bahrain,,2012,Developing,71,0,1.7,76.5,2211.215778,99,0,61.5,0,99,4.37,0.1,99,23649.36661,6.1,6,0.812,14.5
Bahrain,,2011,Developing,76,0,1.66,76.1,197.7734681,99,0,6.8,0,99,3.4,0.1,99,2281.1242,6.1,6,0.812,14.4
Bahrain,,2010,Developing,73,0,1.93,76.1,266.7696122,99,0,6.1,0,99,3.64,0.1,99,2722.1389,6,5.9,0.81,14.4
Bahrain,,2009,Developing,74,0,1.95,76,332.9347646,98,3,59.3,0,97,3.79,0.1,98,19356.67236,6,5.9,0.814,14.4
